Universal ACDC v.1.38
importing alife objects...
importing alife objects from file alife_l07_military.ltx...
team 0, squad 0, group 0, mil_bloodsucker_normal
team 9, squad 2, group 4, mil_m_bloodsucker_normal_0000
team 0, squad 0, group 0, mil_boar_normal
team 0, squad 0, group 0, mil_boar_strong
team 0, squad 0, group 0, mil_boar_strong_0000
team 0, squad 0, group 0, mil_boar_strong_0002
team 0, squad 0, group 0, mil_boar_strong_0003
team 9, squad 2, group 1, mil_m_bloodsucker_e
team 9, squad 2, group 2, mil_m_bloodsucker_e_0000
team 9, squad 2, group 3, mil_m_bloodsucker_e_0001
team 0, squad 0, group 0, mil_m_crow
team 0, squad 0, group 0, mil_m_crow0000
team 0, squad 0, group 0, mil_m_crow0001
team 0, squad 0, group 0, mil_m_crow0002
team 0, squad 0, group 0, mil_m_crow0003
team 0, squad 0, group 0, mil_m_crow0004
team 0, squad 0, group 0, mil_m_crow0005
team 0, squad 0, group 0, mil_m_crow0006
team 0, squad 0, group 0, mil_m_crow0007
team 0, squad 0, group 0, mil_m_crow0008
team 0, squad 0, group 0, mil_m_crow0009
team 0, squad 0, group 0, mil_m_crow0010
team 0, squad 0, group 0, mil_m_crow0011
team 0, squad 0, group 0, mil_m_crow0012
team 0, squad 0, group 0, mil_m_crow0013
team 0, squad 0, group 0, mil_m_crow0014
team 0, squad 0, group 0, mil_m_crow0015
team 0, squad 0, group 0, mil_m_crow0016
team 0, squad 0, group 0, mil_m_crow0017
team 0, squad 0, group 0, mil_m_crow0018
team 0, squad 0, group 0, mil_m_crow0019
team 0, squad 0, group 0, mil_m_crow0020
team 0, squad 0, group 0, mil_m_crow0021
team 0, squad 0, group 0, mil_m_crow0022
team 0, squad 0, group 0, mil_m_crow0023
team 0, squad 0, group 0, mil_m_crow0024
team 0, squad 0, group 0, mil_m_crow0025
team 0, squad 0, group 0, mil_m_crow0026
team 0, squad 0, group 0, mil_m_crow0027
team 0, squad 0, group 0, mil_m_crow0028
team 0, squad 0, group 0, mil_m_crow0029
team 0, squad 0, group 0, mil_m_crow0030
team 0, squad 0, group 0, mil_m_crow0031
team 0, squad 0, group 0, mil_m_crow0032
team 0, squad 0, group 0, mil_m_crow0033
team 0, squad 0, group 0, mil_m_crow0034
team 0, squad 0, group 0, mil_m_crow0035
team 0, squad 0, group 0, mil_pseudodog_normal
team 0, squad 0, group 0, mil_pseudodog_strong
team 0, squad 0, group 0, mil_pseudodog_strong_0000
team 0, squad 0, group 0, mil_pseudodog_strong_0001
team 0, squad 0, group 0, mil_ara
team 0, squad 0, group 0, mil_ara_guard1
team 0, squad 0, group 0, mil_ara_guard2
team 0, squad 0, group 0, mil_ara_guard3
team 11, squad 7, group 4, mil_blockpost_freedomstalker001
team 2, squad 5, group 5, mil_dolg_stalker0000
team 2, squad 5, group 5, mil_dolg_stalker0001
team 2, squad 5, group 5, mil_dolg_stalker0002
team 2, squad 5, group 5, mil_dolg_stalker0003
team 2, squad 5, group 5, mil_dolg_stalker0004
team 2, squad 5, group 5, mil_dolg_stalker0006
team 2, squad 5, group 5, mil_dolg_stalker0006_0000
team 2, squad 5, group 5, mil_dolg_stalker0007
team 11, squad 9, group 0, mil_freedom_member0001
team 11, squad 7, group 0, mil_freedom_member0002
team 11, squad 7, group 0, mil_freedom_member0005
team 11, squad 7, group 0, mil_freedom_member0009
team 11, squad 7, group 0, mil_freedom_member0010
team 11, squad 7, group 0, mil_freedom_member0018
team 11, squad 7, group 0, mil_freedom_member0019
team 11, squad 7, group 0, mil_freedom_member0024
team 11, squad 7, group 0, mil_freedom_member0025
team 11, squad 7, group 0, mil_freedom_member0026
team 1, squad 7, group 0, mil_freedom_stalker0004
team 0, squad 7, group 0, mil_freedom_stalker0010
team 0, squad 7, group 0, mil_freedom_stalker0026
team 13, squad 13, group 13, mil_patrol_stalker0013
team 13, squad 13, group 13, mil_patrol_stalker0014
team 13, squad 13, group 13, mil_patrol_stalker_0000
team 0, squad 0, group 0, mil_stalker
team 0, squad 0, group 0, mil_stalker0012
team 0, squad 0, group 0, mil_stalker0023
team 0, squad 0, group 0, mil_stalker0024
team 0, squad 0, group 0, mil_stalker0025
team 0, squad 0, group 0, mil_stalker_0000
